source,target
AT1G07230,AT2G06925
AT2G06925,AT1G80860
AT2G06925,AT1G52570
AT1G12640,AT2G44810
AT1G12640,AT1G07230
AT1G12640,AT1G80860
AT1G12640,AT1G52570
AT1G07230,AT2G44810
AT2G44810,AT1G80860
AT2G44810,AT1G52570
AT1G07230,AT1G80860
AT1G07230,AT1G52570
AT1G52570,AT1G80860
AT1G07230,AT1G13560
AT1G07230,AT1G07230
AT1G07230,AT2G18730
AT1G07230,AT1G15080
AT2G18730,AT1G13560
AT1G15080,AT1G13560
AT2G18730,AT1G07230
AT1G15080,AT1G07230
AT2G06925,AT1G07230
AT1G07230,AT1G12640
AT1G07230,AT2G44810
AT1G15110,AT1G07230
AT1G07230,AT4G16700
AT1G52570,AT1G07230
AT2G06925,AT1G13560
AT1G13560,AT1G12640
AT2G44810,AT1G13560
AT1G15110,AT1G13560
AT1G13560,AT4G16700
AT1G52570,AT1G13560
AT2G06925,AT2G44810
AT1G15110,AT2G06925
AT2G06925,AT4G16700
AT1G52570,AT2G06925
AT2G44810,AT1G12640
AT1G15110,AT1G12640
AT1G12640,AT4G16700
AT1G52570,AT1G12640
AT1G15110,AT2G44810
AT2G44810,AT4G16700
AT1G52570,AT2G44810
AT1G15110,AT1G52570
AT1G52570,AT4G16700
AT2G44810,AT3G15650
AT3G15650,AT1G74210
AT2G32260,AT1G48600
AT2G32260,AT1G71697
AT1G71697,AT1G48600
AT1G71697,AT1G74210
AT2G38670,AT1G13560
AT1G71697,AT1G48600
AT2G38670,AT1G48600
AT2G38670,AT1G71697
AT1G71697,AT1G74210
AT2G44810,AT3G15650
AT1G74210,AT3G15650
AT1G07230,AT3G58830
AT1G07230,AT4G04870
AT1G15080,AT1G07230
AT1G15080,AT1G13560
AT1G07230,AT4G16700
AT1G13560,AT4G16700
AT1G07230,AT1G15080
AT1G15080,AT1G52570
AT1G15080,AT1G12640
AT1G15080,AT1G52570
AT1G52570,AT1G52570
AT1G15080,AT1G62430
AT4G04870,AT1G75020
AT1G12640,AT3G58830
AT1G12640,AT1G07230
AT1G12640,AT4G04870
AT1G12640,AT4G16700
AT1G12640,AT1G15110
AT1G12640,AT2G44810
AT1G71697,AT1G43710
AT1G74210,AT1G43710
AT2G18790,AT2G18790
AT1G09570,AT1G09570
AT1G09530,AT2G18790
AT1G09530,AT1G09570
AT2G25930,AT2G18790
AT5G61380,AT5G08330
AT2G46790,AT1G01060
AT5G02810,AT1G01060
AT5G24470,AT1G01060
AT5G02810,AT5G62430
AT5G24470,AT5G62430
AT2G46790,AT2G46830
AT5G02810,AT2G46830
AT5G24470,AT2G46830
AT2G25930,AT2G46790
AT5G08330,AT2G46830
AT2G46830,AT5G61380
AT1G01060,AT5G61380
AT1G01060,AT5G08330
AT5G62430,AT5G15840
AT5G61380,AT1G22770
AT2G46790,AT5G62430
AT5G15840,AT1G65480
AT1G56650,AT5G13930
AT1G22770,AT5G15840
AT2G46830,AT2G25930
AT1G23800,AT1G80380
AT1G23800,AT2G37790
AT4G25840,AT2G37790
AT1G80460,AT2G37790
AT1G01610,AT4G25840
AT1G01610,AT1G80460
AT1G12640,AT1G01610
AT3G57140,AT1G11090
AT3G57140,AT1G11090
AT1G15080,AT1G12640
AT1G12640,AT2G18730
AT3G57140,AT1G11090
AT3G57140,AT3G57140
AT3G57140,AT3G57140
AT3G57140,AT2G18730
AT3G57140,AT2G18730
AT3G44830,AT2G18730
AT1G48300,AT2G18730
AT5G01220,AT2G18730
AT2G11810,AT2G18730
AT1G15080,AT3G57140
AT3G57140,AT1G15080
AT3G44830,AT1G15080
AT1G48300,AT1G15080
AT5G01220,AT1G15080
AT2G11810,AT1G15080
AT3G44830,AT3G57140
AT1G48300,AT3G57140
AT5G01220,AT3G57140
AT2G11810,AT3G57140
AT5G01220,AT3G57140
AT3G57140,AT2G11810
AT3G44830,AT5G01220
AT3G44830,AT2G11810
AT5G01220,AT1G48300
AT1G48300,AT2G11810
AT5G01220,AT2G11810
AT4G33030,AT5G01220
AT2G11810,AT3G56310
AT2G11810,AT3G06510
AT3G11670,AT2G11810
AT1G11090,AT4G25840
AT1G11090,AT2G37790
AT1G11090,AT1G80460
AT1G15080,AT1G12640
AT3G57140,AT3G44830
AT1G15080,AT3G57140
AT1G15080,AT3G44830
AT1G15080,AT5G01220
AT1G15080,AT2G11810
AT1G15080,AT3G57140
AT1G15080,AT1G48300
AT3G06510,AT3G11670
AT3G06510,AT3G56310
AT4G33030,AT3G56040
AT3G03520,AT1G12640
AT3G03520,AT1G01610
AT3G03520,AT3G57140
AT3G03520,AT1G11090
AT3G62980,AT1G04100
AT1G04100,AT1G19850
AT1G19850,AT1G04100
AT1G19850,AT1G23160
AT1G19850,AT1G16510
AT1G27320,AT1G03430
AT1G03430,AT1G49190
AT1G49190,AT1G10470
AT3G05120,AT1G14920
AT4G24210,AT1G14920
AT1G14920,AT1G09530
AT1G01360,AT1G07430
AT1G07430,AT1G10940
AT1G10940,AT1G03970
AT1G04310,AT5G03730
AT5G03730,AT1G51660
AT1G51660,AT2G43790
AT2G43790,AT5G03280
AT5G03280,AT1G73730
AT2G25490,AT1G73730
AT1G73730,AT3G23240
AT1G01740,AT1G03445
AT1G03445,AT1G06390
AT1G06390,AT1G19350
AT1G19350,AT5G57560
AT1G19350,AT3G50070
AT2G39940,AT1G17380
AT1G17380,AT1G32640
AT1G64280,AT1G08320
AT1G08320,AT1G50060
AT3G60340,AT3G45770
AT3G45770,AT3G60340
AT1G24470,AT5G10480
AT5G10480,AT3G55360
AT3G55360,AT1G01710
AT1G24470,AT1G01120
AT5G23960,AT5G23960
AT4G34640,AT1G58440
AT4G13280,AT5G44630
AT4G13280,AT5G23960
AT4G13280,AT5G23960
AT5G44630,AT5G23960
AT5G44630,AT5G23960
AT1G58440,AT1G78950
AT1G58440,AT1G78960
AT1G58440,AT1G78960
AT1G58440,AT1G78970
AT1G58440,AT5G48010
AT1G58440,AT1G78955
AT1G58440,AT4G15340
AT1G78950,AT1G78960
AT1G78950,AT1G78960
AT1G78950,AT1G78970
AT1G78950,AT5G48010
AT1G78950,AT1G78955
AT1G78950,AT4G15340
AT1G78960,AT1G78960
AT1G78960,AT1G78970
AT1G78960,AT5G48010
AT1G78960,AT1G78955
AT1G78960,AT4G15340
AT1G78960,AT1G78970
AT1G78960,AT5G48010
AT1G78960,AT1G78955
AT1G78960,AT4G15340
AT1G78970,AT5G48010
AT1G78970,AT1G78955
AT1G78970,AT4G15340
AT5G48010,AT1G78955
AT5G48010,AT4G15340
AT1G78955,AT4G15340
AT4G34640,AT5G23960
AT4G34640,AT5G23960
AT4G34640,AT5G44630
AT4G34640,AT5G44630
AT4G34640,AT5G44630
AT4G34640,AT4G13280
AT5G23960,AT5G44630
AT5G23960,AT5G44630
AT5G23960,AT5G44630
AT5G23960,AT5G44630
AT5G44630,AT5G44630
AT5G44630,AT5G44630
AT5G44630,AT4G13280
AT5G44630,AT5G44630
AT5G44630,AT4G13280
AT1G58440,AT1G78500
AT1G58440,AT1G78500
AT1G58440,AT5G36150
AT1G58440,AT4G15370
AT1G58440,AT5G42600
AT1G78950,AT1G78500
AT1G78950,AT1G78500
AT1G78950,AT5G36150
AT1G78950,AT4G15370
AT1G78950,AT5G42600
AT1G78960,AT1G78500
AT1G78960,AT1G78500
AT1G78960,AT5G36150
AT1G78960,AT4G15370
AT1G78960,AT5G42600
AT1G78960,AT1G78500
AT1G78960,AT1G78500
AT1G78960,AT5G36150
AT1G78960,AT4G15370
AT1G78960,AT5G42600
AT1G78970,AT1G78500
AT1G78970,AT1G78500
AT1G78970,AT5G36150
AT1G78970,AT4G15370
AT1G78970,AT5G42600
AT1G78500,AT1G78500
AT1G78500,AT5G36150
AT1G78500,AT4G15370
AT1G78500,AT5G48010
AT1G78500,AT1G78955
AT1G78500,AT4G15340
AT1G78500,AT5G42600
AT1G78500,AT5G36150
AT1G78500,AT4G15370
AT1G78500,AT5G48010
AT1G78500,AT1G78955
AT1G78500,AT4G15340
AT1G78500,AT5G42600
AT5G36150,AT4G15370
AT5G36150,AT5G48010
AT5G36150,AT1G78955
AT5G36150,AT4G15340
AT5G36150,AT5G42600
AT4G15370,AT5G48010
AT4G15370,AT1G78955
AT4G15370,AT4G15340
AT4G15370,AT5G42600
AT5G48010,AT5G42600
AT1G78955,AT5G42600
AT4G15340,AT5G42600
AT2G07050,AT3G45130
AT2G07050,AT5G13710
AT5G50375,AT1G11680
AT1G11680,AT3G52940
AT3G52940,AT1G20050
AT1G20330,AT1G20050
AT3G02580,AT1G50430
AT3G19820,AT1G50430
AT3G19820,AT2G28850
AT1G50430,AT3G02580
AT3G19820,AT1G50430
AT3G45130,AT3G19820
AT3G45130,AT1G11680
AT3G19820,AT1G11680
AT3G52940,AT1G11680
AT3G19820,AT3G52940
AT1G20050,AT3G19820
AT3G19820,AT5G13710
AT1G20050,AT5G13710
AT1G20050,AT3G19820
AT1G20050,AT3G19820
AT3G02580,AT1G20050
AT1G20050,AT3G19820
AT3G02580,AT3G19820
AT1G50430,AT3G02580
AT3G02580,AT3G19820
AT1G50430,AT3G19820
AT1G50430,AT3G19820
AT1G50430,AT2G15230
AT2G15230,AT3G19820
AT1G20050,AT1G07420
AT1G20330,AT1G07420
AT1G20330,AT1G07420
AT5G13710,AT4G12110
AT4G34640,AT1G58440
AT1G58440,AT3G45130
AT1G58440,AT2G07050
AT3G19820,AT2G28850
AT3G19820,AT1G11680
AT3G45130,AT1G11680
AT3G52940,AT1G11680
AT4G12110,AT1G47290
AT1G07420,AT1G47290
AT1G07420,AT1G47290
AT1G69820,AT5G22300
AT3G61440,AT5G22300
AT1G69820,AT3G61440
AT5G22300,AT3G16150
AT1G69820,AT5G22300
AT3G61440,AT5G22300
AT3G16150,AT5G22300
AT5G22300,AT5G22300
AT1G02850,AT1G73050
AT1G73050,AT3G61440
AT1G02850,AT1G02850
AT2G36390,AT2G40840
AT2G32290,AT2G40840
AT2G36390,AT2G32290
AT2G32290,AT2G40840
AT2G32290,AT5G11720
AT1G06410,AT1G06410
AT1G06410,AT4G24040
AT2G36390,AT1G11720
AT1G05610,AT1G11720
AT1G11720,AT4G11980
AT1G47840,AT4G24620
AT1G06020,AT4G24620
AT1G23190,AT4G24620
AT1G23190,AT1G47840
AT1G47840,AT4G24620
AT1G02850,AT1G02800
AT1G51420,AT1G73370
AT1G12240,AT1G51420
AT5G11720,AT1G51420
AT1G12240,AT1G73370
AT5G11720,AT1G73370
AT1G51420,AT1G04920
AT3G03250,AT1G06410
AT4G29680,AT1G06410
AT1G73370,AT1G06410
AT1G04920,AT1G06410
AT1G73370,AT3G03250
AT1G04920,AT3G03250
AT1G73370,AT4G29680
AT1G04920,AT4G29680
AT1G73370,AT1G04920
AT3G03250,AT1G05610
AT3G03250,AT4G11980
AT3G03250,AT2G40840
AT3G03250,AT1G23190
AT1G05610,AT2G40840
AT1G05610,AT1G23190
AT4G29680,AT1G05610
AT2G40840,AT4G11980
AT1G23190,AT4G11980
AT4G29680,AT4G11980
AT1G23190,AT2G40840
AT4G29680,AT2G40840
AT4G29680,AT1G23190
AT1G12240,AT5G11720
AT1G12240,AT1G06020
AT1G12240,AT1G47840
AT5G11720,AT1G06020
AT5G11720,AT1G47840
AT1G12240,AT1G06020
AT1G12240,AT1G47840
AT1G03310,AT2G32290
AT1G03310,AT2G40840
AT1G03310,AT2G36390
AT1G03310,AT2G32290
AT2G32290,AT2G40840
AT2G32290,AT5G11720
AT1G02800,AT1G02850
AT1G02850,AT1G11820
AT1G02850,AT5G11720
AT1G02850,AT1G12240
AT1G02850,AT1G11820
AT1G02850,AT5G11720
AT1G02850,AT1G12240
AT1G02850,AT1G11820
AT1G02850,AT5G11720
AT1G02850,AT1G12240
AT1G11820,AT5G11720
AT1G11820,AT1G12240
AT1G69830,AT2G40840
AT1G69830,AT5G11720
AT1G69830,AT2G32290
AT2G32290,AT1G69830
AT1G69830,AT1G03310
AT1G69830,AT1G03310
AT1G69830,AT2G36390
AT1G69830,AT2G40840
AT2G40840,AT1G69830
AT1G69830,AT5G11720
AT2G40840,AT1G11720
AT2G40840,AT2G36390
AT2G40840,AT5G11720
AT1G32900,AT3G03250
AT1G32900,AT4G29680
AT1G32900,AT1G73370
AT1G32900,AT1G04920
AT1G32900,AT1G06410
AT1G32900,AT1G11720
AT1G32900,AT2G36390
AT1G32900,AT2G40840
AT1G32900,AT1G05610
AT1G32900,AT4G11980
AT1G32900,AT2G36390
AT1G32900,AT2G40840
AT4G08500,AT4G26070
AT4G26070,AT4G01370
AT4G01370,AT4G08480
AT4G08480,AT1G12280
AT4G01370,AT3G18690
AT3G18690,AT2G38470
AT2G38470,AT3G26830
AT1G51660,AT4G08500
AT1G51660,AT2G43790
AT2G43790,AT1G43700
AT1G43700,AT1G50060
AT2G43790,AT4G01250
AT4G01250,AT2G19190
AT2G43790,AT1G01480
AT3G25250,AT4G09320
AT4G09320,AT2G43790
AT3G25250,AT2G43790
AT3G25250,AT1G09000
AT1G09000,AT1G51660
AT1G51660,AT2G43790
AT2G43790,AT4G01250
AT2G43790,AT2G30250
AT5G40440,AT1G10210
AT1G10210,AT1G50060
AT2G26070,AT1G04310
AT1G04310,AT5G03730
AT5G03730,AT5G03280
AT5G03730,AT1G73500
AT1G73500,AT2G43790
AT2G43790,AT1G73730
AT1G73730,AT3G23240
AT1G54490,AT2G25490
AT2G25490,AT1G73730
AT3G23240,AT2G26020
AT3G23240,AT3G12500
AT3G23240,AT5G24770
AT5G40440,AT2G43790
AT2G43790,AT1G32640
AT1G32640,AT2G26020
AT1G32640,AT3G12500
AT1G32640,AT5G24770
AT4G08500,AT4G29810
AT4G29810,AT2G43790
AT1G10940,AT1G05100
AT1G05100,AT5G40440
AT4G26070,AT2G43790
AT3G06110,AT2G43790
AT1G66410,AT1G18150
AT5G40440,AT1G18150
AT1G18150,AT1G09090
AT1G09090,AT3G25250
AT1G34245,AT2G26330
AT2G26330,AT1G63700
AT1G63700,AT1G51660
AT1G51660,AT2G43790
AT2G43790,AT5G53210
AT1G01360,AT1G07430
AT1G07430,AT1G10940
AT1G79460,AT4G02780
AT5G25900,AT1G79460
AT1G02400,AT1G15550
AT1G44090,AT1G05160
AT1G15550,AT1G44090
AT1G02400,AT1G44090
AT1G02400,AT1G15550
AT1G02400,AT1G15550
AT1G15550,AT1G44090
AT1G02400,AT1G44090
AT1G02400,AT1G15550
AT5G25900,AT1G05160
AT4G02780,AT1G61120
AT1G61120,AT3G25180
AT1G18890,AT1G09090
AT1G05990,AT3G47450
AT5G46330,AT2G13790
AT5G46330,AT4G08500
AT4G08500,AT4G01370
AT4G01370,AT2G30250
AT5G56580,AT4G01370
AT5G56580,AT2G43790
AT1G51660,AT2G43790
AT2G43790,AT4G01250
AT4G02930,AT5G20480
AT2G13790,AT5G20480
AT5G20480,AT4G08500
AT3G25070,AT3G07040
AT3G25070,AT4G26090
AT5G13160,AT1G12220
AT5G46330,AT1G01340
AT4G08500,AT5G56580
AT4G08500,AT1G51660
AT2G21430,AT5G45260
AT3G28910,AT1G01120
AT3G28910,AT4G14440
AT3G10230,AT5G57030
AT5G57030,AT3G10230
AT3G53130,AT4G25700
AT4G25700,AT3G53130
AT3G53130,AT4G25700
AT4G25700,AT3G53130
AT4G25700,AT3G10230
AT5G67030,AT4G25700
AT1G08550,AT4G25700
AT1G08550,AT5G67030
AT1G08550,AT5G67030
AT1G52340,AT1G30100
AT1G52340,AT1G30100
AT2G27150,AT1G52340
AT2G29090,AT2G27150
AT5G17230,AT4G14210
AT5G17230,AT4G14210
AT1G10830,AT3G04870
AT3G04870,AT1G06820
AT3G04870,AT4G14210
AT3G04870,AT3G10230
AT5G57030,AT3G10230
AT5G57030,AT3G04870
AT5G57030,AT1G06820
AT3G10230,AT3G04870
AT3G10230,AT1G06820
AT3G04870,AT1G06820
AT3G10230,AT1G31800
AT3G10230,AT4G25700
AT3G10230,AT3G53130
AT1G31800,AT3G53130
AT1G31800,AT3G53130
AT4G25700,AT1G31800
AT1G31800,AT1G08550
AT1G31800,AT5G67030
AT2G27150,AT1G52400
AT2G29090,AT1G52400
AT4G14210,AT1G10830
AT1G31800,AT3G10230
AT1G31800,AT4G25700
AT3G04870,AT3G10230
AT2G44990,AT4G32810
AT1G03055,AT2G44990
AT1G03055,AT4G25700
AT1G03055,AT1G31800
AT1G03055,AT3G10230
AT1G44790,AT1G69820
AT1G44790,AT5G37830
AT5G37830,AT1G44790
AT5G37830,AT1G69820
AT5G37830,AT4G23100
AT1G69820,AT4G23100
AT5G27380,AT4G23100
AT5G27380,AT1G44790
AT4G23100,AT1G44790
AT1G44790,AT4G23100
AT1G44790,AT1G63770
AT4G23100,AT1G63770
AT1G63770,AT1G69820
AT1G63770,AT1G69820
AT5G27380,AT1G63770
AT1G69820,AT3G24170
AT1G69820,AT5G27380
AT1G69820,AT1G02920
AT1G69820,AT1G63460
AT1G69820,AT1G19550
AT1G69820,AT3G24170
AT1G69820,AT5G27380
AT1G69820,AT1G02920
AT1G69820,AT1G63460
AT1G69820,AT1G19550
AT3G24170,AT5G27380
AT3G24170,AT1G02920
AT5G27380,AT1G02920
AT5G27380,AT1G63460
AT5G27380,AT1G19550
AT1G02920,AT1G63460
AT1G02920,AT1G19550
AT1G02920,AT1G69820
AT1G69820,AT1G63770
AT1G69820,AT2G24200
AT1G69820,AT2G24200
AT2G24200,AT1G44790
AT2G24200,AT4G23100
AT2G24200,AT5G27380
AT1G69820,AT2G24200
AT1G69820,AT1G69820
AT1G69820,AT1G69820
AT1G69820,AT1G48130
AT5G27380,AT1G48130
AT1G69820,AT1G48130
AT1G02920,AT1G48130
